valence,year,acousticness,artists,danceability,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,Genre,duration_min
625.0,2015,762.4442,"['Lin-Manuel Miranda', 'Anthony Ramos', 'Okieriete Onaodowan', 'Daveed Diggs', 'Original Broadway Cast of Hamilton']",494.0,237.0,0,0NJWhm3hUwIZSy5s0TGJ8q,0.0,4,434.8503,-10579.0,1,The Story of Tonight,71.0,2015-09-25,0.0517,"95,219",Pop Rock,1.5330166666666665
0.0397,2015,214.0,['NF'],0.51,643.0,0,5DHQKZCOZhGNTbYBCekWx0,3.22e-06,0,101.0,-6602.0,1,Paralyzed,75.0,2015-03-31,0.0485,130.081,Pop,4.507549999999999
395.0,2015,0.0509,['Rihanna'],0.781,728.0,1,0NTMtAO2BV4tnGvw9EgBVq,1.94e-06,1,257.0,-4981.0,1,Bitch Better Have My Money,76.0,2015-03-26,0.0621,102.99,Indie Pop,3.6551
274.0,2015,762.4442,"['Leslie Odom Jr.', 'Lin-Manuel Miranda']",598.0,221.0,0,2sEq2rC3ynYsT49x7utWnd,4.19e-05,9,0.0723,-10.484,1,Dear Theodosia,71.0,2015-09-25,0.0303,"106,771",Pop Rock,3.066733333333333
376.0,2015,0.0282,['Chris Young'],575.0,845.0,0,0H04yVa3DJxoXbLBpAb7iV,0.0,10,0.0814,-3838.0,1,I'm Comin' Over,69.0,2015-11-13,35.0,"127,997",R&B,3.288
489.0,2015,0.00589,['Kendrick Lamar'],884.0,657.0,1,0N3W5peJUQtI4eyR6GJT5O,0.0,6,154.0,-4569.0,0,King Kunta,74.0,2015-03-16,0.0977,"107,059",Indie Pop,3.91155
0.793,2015,0.59,['Justin Bieber'],845.0,0.567,0,4B0JvthVoAAuygILe3n4Bs,0.0008825,5,0.0811,-8118.0,0,What Do You Mean?,78.0,2015-11-13,0.0956,125.02,Pop,3.428
511.0,2015,271.0,"['Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Daveed Diggs', 'Okieriete Onaodowan', 'Original Broadway Cast of Hamilton']",638.0,0.49,0,2TK2KSrzXD6W01qjXVjNGh,0.0,4,434.8503,-9382.0,0,The Room Where It Happens,71.0,2015-09-25,292.43835,173.552,Hip-Hop,5.303583333333333
0.577,2015,684.0,"['Thayne Jasperson', 'Lin-Manuel Miranda', 'Original Broadway Cast of Hamilton']",795.0,409.0,0,2G9lekfCh83S0lt2yfffBz,0.0,9,0.0548,-8334.0,0,Farmer Refuted,71.0,2015-09-25,0.372,77.879,Pop,1.8790333333333333
319.0,2015,223.0,['Halsey'],731.0,0.58,1,2IO7yf562c1zLzpanal1DT,0.0,10,129.0,-7.328,0,Gasoline,73.0,2015-08-28,0.0399,"119,997",R&B,3.3265499999999997
0.51,2015,297.0,['Original Broadway Cast of Hamilton'],0.76,883.0,1,733tju3KUeatsbjcTRQ04i,0.0,9,434.8503,-5397.0,0,Yorktown (The World Turned Upside Down),71.0,2015-09-25,0.25,"98,012",Pop,4.0431333333333335
174.0,2015,762.4442,['Andra Day'],398.0,316.0,0,0tV8pOpiNsKqUys0ilUcXz,0.0,1,295.0,-7.031,1,Rise Up,76.0,2015-08-28,0.0368,"118,582",Indie Pop,4.222366666666667
254.0,2015,482.0,['The Weeknd'],0.372,478.0,1,7uJH0YdSZL6psjxI6Xy08b,0.0,7,0.0844,-9835.0,0,Acquainted,72.0,2015-08-28,0.0503,"101,102",Pop Rock,5.345625
348.0,2015,762.4442,['Ruth B.'],0.71,0.0565,0,4h0zU3O9R5xzuTmNO7dNDU,0.0,7,0.0889,-15099.0,1,Lost Boy,76.0,2015-08-21,0.0534,"123,994",R&B,4.587999999999999
688.0,2015,0.41,"['Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Original Broadway Cast of Hamilton']",0.854,327.0,0,2yBMVrq96wb9OHbMdBs0lF,0.0,8,0.0889,-10834.0,1,A Winter's Ball,71.0,2015-09-25,292.43835,"131,352",Pop,1.5179583333333329
475.0,2015,0.00131,['Fall Out Boy'],616.0,868.0,0,3Te8uLyit6X3ncNW8Fp3K2,1.54e-06,2,0.671,-3606.0,1,Immortals,74.0,2015-01-20,0.0699,"108,016",Indie Pop,3.15645
528.0,2015,0.0144,['X Ambassadors'],526.0,862.0,0,0fYVliAYKHuPmECRs1pbRf,0.0008825,2,229.0,-6.003,1,Renegades,76.0,2015-06-30,0.0905,"90,052",Pop Rock,3.253333333333333
443.0,2015,106.0,"['Jeremih', 'Ty Dolla $ign']",0.697,0.4,1,3WjyiSbfR74pjWXQ3IaFKJ,0.0,5,102.0,-5888.0,0,Impatient,72.0,2015-12-04,0.0511,"179,007",R&B,4.0920000000000005
521.0,2015,106.0,['Billy Currington'],0.553,747.0,0,3I7krC8kr0gFR7P6vInR1I,0.0,9,154.0,-5432.0,1,Do I Make You Wanna,68.0,2015-06-02,0.0279,"90,012",Hip-Hop,3.9051166666666663
386.0,2015,317.0,"['Meek Mill', 'Drake']",727.0,599.0,1,0Y0TOsE1q11qgbi7c5WZsG,0.0,1,219.0,-6941.0,1,R.I.C.O. (feat. Drake),71.0,2015-06-29,292.43835,167.909,Pop,3.28555
343.0,2015,0.0435,"['The Chainsmokers', 'ROZES']",713.0,802.0,0,3vv9phIu6Y1vX3jcqaGz5Z,0.0008825,4,309.0,-7055.0,1,Roses,74.0,2015-06-16,0.0561,"100,001",Pop Rock,3.7789833333333336
255.0,2015,752.0,['Phillipa Soo'],0.582,428.0,0,4B3qvzOMzLQXLeYgPsG3KA,0.0,2,102.0,-9.13,1,Burn,70.0,2015-09-25,0.0516,"99,608",R&B,3.754016666666667
447.0,2015,0.0189,['Twenty One Pilots'],655.0,632.0,0,3bnVBN67NBEzedqQuWrpP4,0.0,2,0.0722,-4802.0,1,Tear in My Heart,73.0,2015-05-15,0.0489,"120,113",Alternative Pop,3.14155
956.0,2015,0.0244,['Zac Brown Band'],711.0,0.801,0,1qwnPVOIJjAFfCc40Etb1D,0.000113,6,135.0,-3742.0,1,Homegrown,69.0,2015-04-28,29.0,"105,006",Hip-Hop,3.4166666666666665
239.0,2015,0.0158,['Rae Sremmurd'],0.891,486.0,1,4scpF6J5uMBvoh6sFB7EL1,3.78e-06,6,0.0925,-7803.0,1,No Type,73.0,2015-01-06,159.0,125.01,Indie Pop,3.3346666666666667
