valence,year,acousticness,artists,danceability,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,Genre,duration_min
0.478,2015,0.822,['Colter Wall'],0.567,0.311,0,3Ozx6IrGdoQyAworJzvBDE,0.001,2,0.11,-60.0,0,Sleeping on the Blacktop,70.0,02/06/2015,0.046,83.11,Pop Rock,3.208
0.249,2015,0.037,['Houndmouth'],0.396,0.677,0,2kG5litgxXvx6ZRgwO1v7W,0.0,3,0.112,-60.0,1,Sedona,68.0,17/03/2015,0.035,135.177,Alternative Pop,3.998
0.441,2015,0.211,"['Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Renée Elise Goldsberry', 'Phillipa Soo', 'Christopher Jackson', 'Original Broadway Cast of Hamilton']",0.77,0.482,0,7qfoq1JFKBUEIvhqOHzuqX,0.0,6,0.223,-60.0,1,Non-Stop,72.0,25/09/2015,0.351,91.994,Hip-Hop,5.346
0.382,2015,0.019,"['G-Eazy', 'Bebe Rexha']",0.757,0.672,1,40YcuQysJ0KlGQTeGUosTC,0.0,0,0.158,-60.0,0,"Me, Myself & I",76.0,04/12/2015,0.096,111.996,Indie Pop,4.191
0.49,2015,0.272,['Tame Impala'],0.47,0.809,0,52ojopYMUzeNcudsoz7O9D,0.001,8,0.049,-6.74,1,"New Person, Same Old Mistakes",73.0,17/07/2015,0.05,151.836,Pop,5.346
0.472,2015,0.419,['Kodak Black'],0.773,0.516,1,3XoMtVDuIbmMQ9UKSShXti,0.0,9,0.075,-60.0,0,Already,70.0,26/12/2015,0.181,120.001,Indie Pop,4.028
0.605,2015,0.01,['Chris Stapleton'],0.642,0.762,0,5jROdl6MhcmP3O7h2sVgtw,0.0,6,0.182,-60.0,1,Parachute,70.0,04/05/2015,0.03,113.038,Pop Rock,4.22
0.326,2015,0.762,"['Sam Smith', 'John Legend']",0.468,0.19,0,64GRDrL1efgXclrhVCeuA0,0.0,4,0.107,-60.0,1,Lay Me Down,76.0,06/11/2015,0.037,125.319,Hip-Hop,3.659
0.081,2015,0.694,"[""Olivia O'Brien""]",0.657,0.355,0,0jllH0usRFD4LJkJnGK9Lf,0.0,7,0.123,-60.0,1,Complicated,77.0,09/08/2015,0.071,74.99,R&B,3.15
0.755,2015,0.015,['Shawn Mendes'],0.752,0.754,0,5jsw9uXEGuKyJzs0boZ1bT,0.0,1,0.049,-60.0,1,Stitches,73.0,14/04/2015,0.062,149.789,Indie Pop,3.448
0.383,2015,0.177,"['Lin-Manuel Miranda', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",0.68,0.413,1,3nJYcY9yvKP8Oi2Ml8brXt,0.0,8,0.205,-9.41,1,Right Hand Man,71.0,25/09/2015,0.492,158.576,Pop,5.346
0.274,2015,0.003,"['Major Lazer', 'MØ', 'DJ Snake']",0.723,0.809,0,1Lim1Py7xBgbAkAys3AGAG,0.001,7,0.435,-3.081,0,Lean On,72.0,27/11/2015,0.062,98.007,Pop,2.943
0.572,2015,0.02,['Sia'],0.399,0.787,0,2s1sdSqGcKxpPr5lCl7jAV,0.0,1,0.068,-2.88,1,Chandelier,70.0,04/05/2015,0.05,117.089,Pop,3.602
0.406,2015,0.405,['The Weeknd'],0.659,0.291,1,4frLb7nWtsz2ymBE6k2GRP,0.0,2,0.077,-60.0,0,Earned It (Fifty Shades Of Grey),71.0,28/08/2015,0.035,119.829,R&B,4.628
